Index Name,Date,Open,High,Low,Close,MA20,MA50,MA200
NIFTY 200,30 Jun 2026,13864.75,13864.75,13774,13803.40,13700.03,13726.59,13990.72
NIFTY 200,29 Jun 2026,13891.2,13913.9,13792.2,13820.10,13686.28,13725.37,13990.63
NIFTY 200,25 Jun 2026,13948.85,14004.4,13879.85,13891.25,13678.46,13723.32,13990.54
NIFTY 200,24 Jun 2026,13799.1,13930.05,13777.6,13889.45,13676.98,13714.96,13989.69
NIFTY 200,23 Jun 2026,13967.15,13991.45,13790.85,13812.00,13673.66,13708.8,13988.86
NIFTY 200,22 Jun 2026,13965.7,13991.75,13946.5,13975.20,13675.51,13700.54,13987.68
NIFTY 200,19 Jun 2026,13885.65,13928.3,13841.2,13911.25,13660.55,13690.47,13985.91
NIFTY 200,18 Jun 2026,13924.65,13980.75,13896.05,13970.35,13646.97,13671.41,13985.14
NIFTY 200,17 Jun 2026,13883.9,13925,13845.4,13918.25,13630.35,13649.73,13984.9
NIFTY 200,16 Jun 2026,13830.1,13861.85,13795.1,13854.30,13614.36,13625.92,13984.68
NIFTY 200,15 Jun 2026,13831,13868.65,13767.95,13788.90,13600.41,13603.24,13985.28
NIFTY 200,12 Jun 2026,13490.45,13630.95,13431.25,13618.55,13590.79,13577.31,13986.21
NIFTY 200,11 Jun 2026,13333.75,13422.95,13300.9,13333.70,13592.11,13560.72,13987.77
NIFTY 200,10 Jun 2026,13471.5,13532.25,13377.05,13397.80,13599.84,13555.5,13990.36
NIFTY 200,09 Jun 2026,13440.3,13487.6,13391.15,13471.15,13601.88,13544.2,13991.91
NIFTY 200,08 Jun 2026,13360.45,13468.8,13330.85,13362.25,13614.39,13526.66,13993.12
NIFTY 200,05 Jun 2026,13591.5,13618.45,13473.55,13527.00,13642.31,13519.13,13994.5
NIFTY 200,04 Jun 2026,13471.9,13586.8,13450.3,13549.85,13665.56,13506.96,13995.27
NIFTY 200,03 Jun 2026,13551.65,13562.9,13379.45,13528.85,13686.01,13502.99,13995.3
NIFTY 200,02 Jun 2026,13442.3,13607.65,13421.35,13577.00,13698.0,13496.59,13996.19
NIFTY 200,01 Jun 2026,13725.5,13758.1,13514.55,13528.35,13708.48,13487.13,13996.73
NIFTY 200,29 May 2026,13884.6,13925.6,13629.8,13663.70,13717.34,13476.92,13997.85
NIFTY 200,27 May 2026,13817.65,13883.75,13813.1,13861.60,13725.41,13470.01,13998.49
NIFTY 200,26 May 2026,13843.55,13891,13799.15,13823.15,13720.32,13461.09,13997.58
NIFTY 200,25 May 2026,13803.2,13862.55,13794.5,13849.10,13718.94,13456.98,13997.53
NIFTY 200,22 May 2026,13659,13722.65,13643.65,13675.90,13709.33,13449.13,13997.68
NIFTY 200,21 May 2026,13739.95,13759.55,13612.6,13639.60,13715.6,13449.73,13998.63
NIFTY 200,20 May 2026,13509.15,13651.25,13473.95,13638.00,13729.46,13453.95,13999.31
NIFTY 200,19 May 2026,13598.25,13681.85,13580.8,13598.50,13746.12,13454.75,14000.46
NIFTY 200,18 May 2026,13505.6,13597.15,13379.85,13575.35,13759.41,13461.41,14002.58
NIFTY 200,15 May 2026,13674.9,13706.3,13578.15,13596.35,13773.78,13472.32,14005.22
NIFTY 200,14 May 2026,13563.1,13686.35,13477.3,13644.95,13781.08,13486.34,14007.38
NIFTY 200,13 May 2026,13431.9,13582.9,13379.55,13488.30,13784.71,13498.82,14009.47
NIFTY 200,12 May 2026,13677.35,13700.7,13421.3,13438.60,13783.96,13513.34,14012.0
NIFTY 200,11 May 2026,13817.7,13821.3,13711.25,13721.40,13791.1,13531.19,14015.21
NIFTY 200,08 May 2026,13956.25,13962.9,13897,13920.75,13775.0,13542.38,14017.23
NIFTY 200,07 May 2026,14007.45,14053.45,13949.85,13991.90,13752.53,13548.2,14018.21
NIFTY 200,06 May 2026,13868.35,13968.6,13783.25,13958.85,13700.84,13556.95,14018.43
NIFTY 200,05 May 2026,13760.95,13790.55,13683,13768.65,13647.22,13565.11,14018.82
NIFTY 200,04 May 2026,13760,13867.15,13718.85,13786.60,13595.19,13576.42,14020.74
NIFTY 200,30 Apr 2026,13735.5,13753.6,13594.45,13705.55,13541.88,13585.12,14022.87
NIFTY 200,29 Apr 2026,13821.95,13922,13790.7,13825.10,13481.2,13599.52,14025.51
NIFTY 200,28 Apr 2026,13781.4,13843.35,13740.4,13759.85,13429.41,13613.06,14027.45
NIFTY 200,27 Apr 2026,13697.8,13815.75,13694.2,13795.50,13395.05,13627.53,14029.74
NIFTY 200,24 Apr 2026,13780.95,13831.75,13598.75,13656.85,13346.91,13640.46,14031.7
NIFTY 200,23 Apr 2026,13838.7,13886.6,13789.7,13801.35,13293.79,13653.64,14034.51
NIFTY 200,22 Apr 2026,13925.1,13958.75,13885,13916.75,13252.99,13663.51,14036.8
NIFTY 200,21 Apr 2026,13881.3,13983.3,13876.7,13971.20,13203.09,13672.42,
NIFTY 200,20 Apr 2026,13885.2,13937,13778.7,13864.30,13172.08,13679.28,
NIFTY 200,17 Apr 2026,13739.2,13871,13702.5,13862.85,13139.34,13680.99,
NIFTY 200,16 Apr 2026,13811.2,13830.7,13667.55,13742.25,13101.37,13679.85,
NIFTY 200,15 Apr 2026,13667.7,13734.8,13661.15,13717.65,13065.17,13686.86,
NIFTY 200,13 Apr 2026,13309.45,13513.1,13268,13473.30,13045.18,13695.53,
NIFTY 200,10 Apr 2026,13465.85,13592.45,13454.6,13581.30,13042.3,13708.31,
NIFTY 200,09 Apr 2026,13437.75,13492.25,13345,13399.35,13044.12,13715.97,
NIFTY 200,08 Apr 2026,13383.1,13485.5,13360,13471.45,13046.98,13725.76,
NIFTY 200,07 Apr 2026,12818.2,12970.45,12738.75,12958.15,13058.71,13737.61,
NIFTY 200,06 Apr 2026,12763.9,12901.9,12645.5,12886.40,13103.33,13757.64,
NIFTY 200,02 Apr 2026,12557.45,12761.35,12396.1,12728.00,13142.91,13780.39,
NIFTY 200,01 Apr 2026,12820.3,12864.3,12680.4,12720.35,13203.07,13811.25,
NIFTY 200,30 Mar 2026,12630.6,12715.9,12468,12492.10,13273.11,13843.37,
NIFTY 200,27 Mar 2026,12999.1,13003.9,12782.15,12789.20,13363.38,13879.72,
NIFTY 200,25 Mar 2026,12934,13157.6,12933.65,13072.60,13437.35,13910.33,
NIFTY 200,24 Mar 2026,12819.4,12912,12647.4,12832.90,13494.45,13935.92,
NIFTY 200,23 Mar 2026,12830.6,12839.55,12568.75,12594.30,13569.35,13965.4,
NIFTY 200,20 Mar 2026,12990.65,13129.2,12964.55,12985.40,13653.68,14001.94,
NIFTY 200,19 Mar 2026,13064.1,13133.1,12874.1,12918.65,13715.0,14034.55,
NIFTY 200,18 Mar 2026,13239.05,13396.35,13236.1,13351.15,13790.53,14068.49,
NIFTY 200,17 Mar 2026,13154.6,13247.2,13069.85,13209.35,13841.34,14094.33,
NIFTY 200,16 Mar 2026,12998.25,13162.25,12865.5,13103.60,13897.55,14123.68,
NIFTY 200,13 Mar 2026,13231.15,13247.5,12995.95,13018.25,13953.47,14152.81,
NIFTY 200,12 Mar 2026,13318.05,13420.9,13217.65,13317.80,14023.83,14183.12,
NIFTY 200,11 Mar 2026,13617.45,13666.4,13395.95,13415.70,14083.05,14205.09,
NIFTY 200,10 Mar 2026,13608.65,13643.9,13500.35,13617.75,14136.43,14225.19,
NIFTY 200,09 Mar 2026,13401.95,13481.85,13262.2,13456.55,14177.64,14242.47,
NIFTY 200,06 Mar 2026,13799.8,13841.95,13688.9,13706.00,14220.61,14263.84,
NIFTY 200,05 Mar 2026,13755.85,13894.9,13712.4,13850.45,14250.05,14280.89,
NIFTY 200,04 Mar 2026,13682.35,13743.55,13600.3,13678.05,14275.62,14294.88,
NIFTY 200,02 Mar 2026,13769.9,14019.45,13764.6,13931.30,14307.45,14310.04,
NIFTY 200,27 Feb 2026,14281.35,14288.15,14101.75,14121.05,14308.37,14318.05,
NIFTY 200,26 Feb 2026,14306.5,14328.6,14230.15,14297.55,14292.6,14322.26,
NIFTY 200,25 Feb 2026,14264.75,14336.7,14225.25,14268.65,14282.38,14323.67,
NIFTY 200,24 Feb 2026,14290.45,14290.45,14134.65,14214.45,14276.5,14327.54,
NIFTY 200,23 Feb 2026,14336.85,14380.45,14274.75,14331.00,14271.38,14332.63,
NIFTY 200,20 Feb 2026,14184.4,14325.7,14172.2,14280.85,14253.04,14333.34,
NIFTY 200,19 Feb 2026,14455.2,14458.4,14173.75,14211.95,14233.45,14333.27,
NIFTY 200,18 Feb 2026,14384.75,14435.65,14331.65,14429.20,14226.05,14335.86,
NIFTY 200,17 Feb 2026,14314.45,14382.9,14281.6,14367.20,14202.57,14334.63,
NIFTY 200,16 Feb 2026,14184.35,14342.7,14150.1,14333.65,14185.41,14338.12,
NIFTY 200,13 Feb 2026,14298.95,14313.25,14205.75,14221.90,14182.27,14340.78,
NIFTY 200,12 Feb 2026,14481.75,14481.75,14385.6,14425.50,14187.51,14345.23,
NIFTY 200,11 Feb 2026,14516.6,14519.25,14459.4,14502.15,14181.7,14346.9,
NIFTY 200,10 Feb 2026,14481.25,14507.7,14443.6,14483.45,14172.59,14348.28,
NIFTY 200,09 Feb 2026,14418,14448.15,14374.85,14441.90,14166.02,14350.2,
NIFTY 200,06 Feb 2026,14270.1,14323.55,14182.25,14316.00,14159.27,14353.07,
NIFTY 200,05 Feb 2026,14347.2,14347.7,14252.7,14294.75,14164.52,14358.4,
NIFTY 200,04 Feb 2026,14292.75,14381.35,14210.6,14361.95,14180.58,14360.48,
NIFTY 200,03 Feb 2026,14584.9,14613.55,14261.25,14314.45,14193.27,14361.49,
NIFTY 200,02 Feb 2026,13797.65,13965.5,13696.15,13949.75,14209.69,14364.83,
NIFTY 200,01 Feb 2026,14089.75,14151.6,13637.85,13805.80,14246.06,14377.52,
NIFTY 200,30 Jan 2026,14061.5,14117.05,14019.4,14093.05,14283.78,14392.04,
NIFTY 200,29 Jan 2026,14121.35,14167.2,14013.9,14151.10,14305.81,14399.62,
NIFTY 200,28 Jan 2026,14012.1,14123.45,14001.2,14111.95,14319.08,14407.43,
NIFTY 200,27 Jan 2026,13916.2,14003.8,13816.75,13964.30,14334.51,14414.64,
NIFTY 200,23 Jan 2026,14100.9,14101.6,13872.2,13889.10,14360.37,14424.56,
NIFTY 200,22 Jan 2026,14067.3,14146.35,13991.15,14063.90,14392.19,14436.12,
NIFTY 200,21 Jan 2026,13974.15,14052.8,13812.55,13959.55,14416.91,14442.35,
NIFTY 200,20 Jan 2026,14266.6,14268.35,13988.5,14023.95,14446.42,14449.42,
NIFTY 200,19 Jan 2026,14303.45,14304.8,14233.3,14270.95,14467.02,14454.19,
NIFTY 200,16 Jan 2026,14326.75,14428.3,14306.4,14326.60,14470.08,14453.8,
NIFTY 200,14 Jan 2026,14281.55,14363.35,14267.8,14309.40,14470.31,14453.93,
NIFTY 200,13 Jan 2026,14408.55,14413.35,14231.85,14319.85,14473.26,14456.07,
NIFTY 200,12 Jan 2026,14304.1,14366.05,14163.2,14352.10,14480.36,14456.92,
NIFTY 200,09 Jan 2026,14402.1,14468.75,14266.9,14306.95,14486.22,14458.69,
NIFTY 200,08 Jan 2026,14600.8,14611.7,14408.25,14421.05,14489.18,14462.84,
NIFTY 200,07 Jan 2026,14605.75,14638.4,14571,14615.85,14482.0,14462.94,
NIFTY 200,06 Jan 2026,14626.6,14663.3,14574,14615.75,14468.28,14459.57,
NIFTY 200,05 Jan 2026,14688.85,14700.95,14607,14642.90,14455.89,14454.28,
NIFTY 200,02 Jan 2026,14574.75,14682.45,14565.7,14677.15,14450.83,14449.35,
NIFTY 200,01 Jan 2026,14560.7,14571.25,14518.4,14560.25,14440.29,14443.65,
NIFTY 200,31 Dec 2025,14440.8,14564.7,14440.15,14533.50,14434.5,14439.99,
NIFTY 200,30 Dec 2025,14418.15,14438.8,14377.85,14416.45,14433.27,14435.41,
NIFTY 200,29 Dec 2025,14495.35,14510.8,14408.8,14420.65,14441.02,14432.57,
NIFTY 200,26 Dec 2025,14517.25,14546.45,14462.4,14481.50,14448.95,14427.22,
NIFTY 200,24 Dec 2025,14561.4,14594.45,14515.75,14525.40,14454.15,14418.23,
NIFTY 200,23 Dec 2025,14571.25,14583.45,14519.95,14558.50,14457.0,14409.56,
NIFTY 200,22 Dec 2025,14484.7,14555.15,14474.15,14549.60,14449.01,14400.69,
NIFTY 200,19 Dec 2025,14377.5,14442.55,14367.9,14436.10,14442.17,14390.88,
NIFTY 200,18 Dec 2025,14311.65,14375.05,14260.8,14332.05,14444.44,14381.6,
NIFTY 200,17 Dec 2025,14386.25,14410.75,14302.3,14331.25,14457.03,14375.54,
NIFTY 200,16 Dec 2025,14429.9,14438.1,14350.85,14368.35,14467.06,14368.98,
NIFTY 200,15 Dec 2025,14419.3,14469.3,14382.35,14461.90,14472.25,14359.71,
NIFTY 200,12 Dec 2025,14407.8,14476.5,14399.3,14469.30,14476.23,14347.56,
NIFTY 200,11 Dec 2025,14285.05,14376.2,14243.3,14366.15,14476.39,14332.97,
NIFTY 200,10 Dec 2025,14356.85,14406.5,14265.2,14277.45,14481.11,14320.62,
NIFTY 200,09 Dec 2025,14318.35,14376.25,14214.85,14341.35,14490.6,14309.68,
NIFTY 200,08 Dec 2025,14531.3,14542.1,14328.35,14368.05,14492.28,14300.9,
NIFTY 200,05 Dec 2025,14452.45,14550.25,14435.75,14541.65,14489.55,14293.46,
NIFTY 200,04 Dec 2025,14446.4,14511.6,14427.6,14466.40,14475.59,14284.37,
NIFTY 200,03 Dec 2025,14501.45,14524.9,14400.8,14444.40,14464.82,14277.39,
NIFTY 200,02 Dec 2025,14536.1,14575.15,14485.4,14508.95,14459.27,14272.0,
NIFTY 200,01 Dec 2025,14642.65,14642.65,14538.7,14571.35,14454.64,14265.81,
NIFTY 200,28 Nov 2025,14597.1,14611.7,14561.85,14579.35,14444.19,14257.35,
NIFTY 200,27 Nov 2025,14615.1,14626.05,14541.95,14585.35,14437.25,14247.92,
NIFTY 200,26 Nov 2025,14392.5,14588.85,14392.5,14582.50,14433.71,14236.57,
NIFTY 200,25 Nov 2025,14429.65,14459.1,14385.75,14398.65,14425.87,14225.17,
NIFTY 200,24 Nov 2025,14505.35,14512.85,14392.5,14412.85,14428.32,14216.34,
NIFTY 200,21 Nov 2025,14546.7,14565.65,14473.85,14481.50,14425.25,14206.81,
NIFTY 200,20 Nov 2025,14579.2,14620.4,14542.75,14583.80,14420.99,14194.49,
NIFTY 200,19 Nov 2025,14476.85,14543.35,14438,14531.85,14411.39,14179.26,
NIFTY 200,18 Nov 2025,14549.65,14551.95,14455.4,14472.15,14403.66,14164.42,
NIFTY 200,17 Nov 2025,14503.55,14548.1,14484.1,14541.45,14395.28,14150.67,
NIFTY 200,14 Nov 2025,14417.95,14487.6,14392.9,14472.60,14381.93,14135.88,
NIFTY 200,13 Nov 2025,14484.05,14534.5,14435.2,14460.55,14365.95,14120.87,
NIFTY 200,12 Nov 2025,14447.45,14495.75,14425.35,14467.15,14344.52,14106.12,
NIFTY 200,11 Nov 2025,14335.95,14383.7,14237.1,14375.15,14325.78,14088.28,
NIFTY 200,10 Nov 2025,14276.3,14355.65,14276.3,14313.30,14312.76,14073.22,
NIFTY 200,07 Nov 2025,14207.85,14291.85,14124.6,14262.45,14300.05,14062.11,
NIFTY 200,06 Nov 2025,14338.05,14364.55,14242.5,14251.00,14285.54,14055.28,
NIFTY 200,04 Nov 2025,14412.3,14427.35,14324.05,14333.45,14274.45,14047.76,
NIFTY 200,03 Nov 2025,14360.05,14435.65,14342.6,14416.35,14257.94,14040.56,
NIFTY 200,31 Oct 2025,14441.15,14483.45,14355,14362.30,14232.35,14031.74,
NIFTY 200,30 Oct 2025,14498.8,14511.4,14420.9,14440.65,14206.95,14023.09,
NIFTY 200,29 Oct 2025,14450.75,14526.95,14436.85,14514.55,14171.91,14011.33,
NIFTY 200,28 Oct 2025,14445.85,14483.85,14364.15,14425.70,14133.63,13995.2,
NIFTY 200,27 Oct 2025,14385.4,14462.1,14373.35,14447.60,14098.85,13980.96,
NIFTY 200,24 Oct 2025,14420.75,14424.6,14312.55,14351.40,14071.59,13964.74,
NIFTY 200,23 Oct 2025,14482.25,14506.85,14378.55,14396.40,14053.83,13951.35,
NIFTY 200,21 Oct 2025,14420.2,14434.4,14369,14391.75,14038.37,13934.53,
NIFTY 200,20 Oct 2025,14367.55,14418.1,14345.95,14377.25,14024.65,13920.83,
NIFTY 200,17 Oct 2025,14260.7,14352.85,14241.95,14304.60,14014.53,13907.01,
NIFTY 200,16 Oct 2025,14192.35,14293.45,14181.65,14274.35,14009.26,13895.93,
NIFTY 200,15 Oct 2025,14058.45,14171.7,14055.75,14153.15,14002.99,13886.3,
NIFTY 200,14 Oct 2025,14124.7,14139.95,13991.9,14031.95,14000.71,13876.81,
NIFTY 200,13 Oct 2025,14058.35,14106.3,14034.6,14092.25,14000.0,13872.45,
NIFTY 200,10 Oct 2025,14059.5,14140.15,14046.35,14114.85,13996.02,13868.19,
NIFTY 200,09 Oct 2025,13992.7,14065.25,13969.75,14059.05,13988.13,13863.22,
NIFTY 200,08 Oct 2025,14018.5,14062.3,13959,13972.25,13981.99,13857.55,
NIFTY 200,07 Oct 2025,14013.55,14073.85,14003.85,14029.10,13976.66,13855.44,
NIFTY 200,06 Oct 2025,13917.75,14007.55,13894.75,14003.25,13966.31,13855.32,
NIFTY 200,03 Oct 2025,13832.6,13909.55,13812.9,13904.50,13955.65,13857.3,
NIFTY 200,01 Oct 2025,13746.25,13863.95,13736.85,13854.40,13949.65,13859.81,
NIFTY 200,30 Sep 2025,13781.4,13802.65,13709.1,13739.95,13947.03,13863.99,
NIFTY 200,29 Sep 2025,13772.55,13822.1,13712.4,13748.90,13946.14,13869.06,
NIFTY 200,26 Sep 2025,13869,13888.2,13716.7,13730.05,13944.84,13875.67,
NIFTY 200,25 Sep 2025,13988.45,14027,13894.2,13902.35,13937.1,13883.61,
NIFTY 200,24 Sep 2025,14062.9,14079.6,13987.45,13996.20,13923.09,13887.89,
NIFTY 200,23 Sep 2025,14131.65,14149.45,14042.5,14087.20,13911.17,13888.7,
NIFTY 200,22 Sep 2025,14138.45,14196.3,14088.2,14117.40,13902.85,13887.69,
NIFTY 200,19 Sep 2025,14204.6,14211.95,14153.35,14174.85,13890.75,13888.4,
NIFTY 200,18 Sep 2025,14204.5,14208.7,14146.75,14199.30,13880.67,13889.12,
NIFTY 200,17 Sep 2025,14135.1,14162.05,14119.5,14148.80,13869.47,13889.8,
NIFTY 200,16 Sep 2025,14028.65,14118.65,14019.3,14107.55,13858.53,13891.11,
NIFTY 200,15 Sep 2025,14024.35,14040.5,14001.9,14017.90,13845.79,13893.3,
NIFTY 200,12 Sep 2025,13998.45,14024.5,13977.75,14012.55,13830.28,13896.71,
NIFTY 200,11 Sep 2025,13931.4,13971.7,13927.35,13957.00,13815.34,13900.81,
NIFTY 200,10 Sep 2025,13931.6,13966.8,13905.25,13936.30,13799.32,13906.88,
NIFTY 200,09 Sep 2025,13866.65,13875.45,13831,13865.75,13786.62,,
NIFTY 200,08 Sep 2025,13827.8,13883.6,13799.8,13822.10,13771.09,,
NIFTY 200,05 Sep 2025,13829.35,13842.85,13719.4,13790.05,13765.33,,
NIFTY 200,04 Sep 2025,13955.85,13955.85,13769.5,13784.50,13760.13,,
NIFTY 200,03 Sep 2025,13743.9,13811.05,13709.15,13802.00,13758.44,,
NIFTY 200,02 Sep 2025,13744.95,13806.75,13693.6,13721.95,13757.97,,
NIFTY 200,01 Sep 2025,13589.55,13728,13589.5,13723.05,13755.8,,
NIFTY 200,29 Aug 2025,13608.3,13671.4,13562.5,13575.10,13760.35,,
NIFTY 200,28 Aug 2025,13757.3,13757.3,13614.15,13622.25,13775.56,,
NIFTY 200,26 Aug 2025,13884.4,13894.25,13745.75,13757.80,13787.77,,
NIFTY 200,25 Aug 2025,13923.25,13953.55,13892.8,13920.85,13788.67,,
NIFTY 200,22 Aug 2025,13970.05,13976.5,13869.05,13875.40,13785.96,,
NIFTY 200,21 Aug 2025,14022.8,14024.3,13966.85,13973.30,13793.34,,
NIFTY 200,20 Aug 2025,13926.65,13994.3,13905.7,13975.20,13799.79,,
NIFTY 200,19 Aug 2025,13867.05,13937.35,13839,13930.00,13802.52,,
NIFTY 200,18 Aug 2025,13875.95,13926.25,13846.15,13852.80,13809.19,,
NIFTY 200,14 Aug 2025,13720.05,13743.9,13687.4,13707.70,13816.22,,
NIFTY 200,13 Aug 2025,13689.5,13737.05,13669.15,13713.60,13834.81,,
NIFTY 200,12 Aug 2025,13677.95,13743.55,13626.05,13636.70,13855.48,,
NIFTY 200,11 Aug 2025,13559.1,13691.75,13540.95,13682.25,13879.46,,
NIFTY 200,08 Aug 2025,13695.15,13703.9,13541.4,13555.15,13897.19,,
NIFTY 200,07 Aug 2025,13623.95,13728.35,13545.25,13706.85,13921.26,,
NIFTY 200,06 Aug 2025,13755.1,13762.05,13662,13686.15,13943.56,,
NIFTY 200,05 Aug 2025,13794.45,13795.9,13711.15,13750.75,13969.81,,
NIFTY 200,04 Aug 2025,13692.35,13799.1,13667.8,13792.60,13993.94,,
NIFTY 200,01 Aug 2025,13802.65,13813.3,13661.65,13678.50,14015.01,,
NIFTY 200,31 Jul 2025,13744.55,13909.25,13743.05,13814.00,14041.94,,
NIFTY 200,30 Jul 2025,13900.2,13900.55,13830.65,13879.35,14060.67,,
NIFTY 200,29 Jul 2025,13740.7,13877.65,13737.65,13866.45,14077.57,,
NIFTY 200,28 Jul 2025,13838.25,13915.2,13756.3,13775.75,14097.27,,
NIFTY 200,25 Jul 2025,13993.65,13993.65,13849.05,13866.75,,,
NIFTY 200,24 Jul 2025,14111.9,14112.9,13994.55,14023.00,,,
NIFTY 200,23 Jul 2025,14067.65,14107.5,14021.45,14102.30,,,
NIFTY 200,22 Jul 2025,14106.2,14110.6,14020.75,14029.75,,,
NIFTY 200,21 Jul 2025,14006.9,14074.1,13944.8,14063.40,,,
NIFTY 200,18 Jul 2025,14082.85,14096.1,13972.75,13993.45,,,
NIFTY 200,17 Jul 2025,14144,14147.15,14073.8,14079.55,,,
NIFTY 200,16 Jul 2025,14120.75,14146.1,14083.95,14126.95,,,
NIFTY 200,15 Jul 2025,14049,14130.55,14043.3,14116.20,,,
NIFTY 200,14 Jul 2025,14041.3,14055.7,13988.1,14036.80,,,
NIFTY 200,11 Jul 2025,14111.85,14143.7,14021.7,14036.60,,,
NIFTY 200,10 Jul 2025,14232.5,14238.85,14141.3,14152.90,,,
NIFTY 200,09 Jul 2025,14233.75,14250.05,14183.2,14211.15,,,
NIFTY 200,08 Jul 2025,14204.85,14245.05,14174.55,14233.25,,,
NIFTY 200,07 Jul 2025,14216.95,14236.65,14187.1,14214.05,,,
NIFTY 200,04 Jul 2025,14207.3,14221.35,14146.25,14217.15,,,
NIFTY 200,03 Jul 2025,14244.65,14275.35,14178.35,14188.60,,,
NIFTY 200,02 Jul 2025,14281.7,14293.25,14168.85,14217.35,,,
NIFTY 200,01 Jul 2025,14276.15,14289.35,14226.5,14260.50,,,
